Year;GP;Aston Martin;Ferrari;McLaren;Mercedes;Red Bull Racing
2019;Abu Dhabi Grand Prix;-0.7799652062499072;-0.7042970296098509;-0.7648089005874374;-0.7222406206480259;-0.661654637710067
2019;Australian Grand Prix;-0.5730380261673308;-0.3323919061692082;-0.2840802292668485;-0.7655786207232685;-0.7062833454114441
2019;Austrian Grand Prix;-0.6174891127554988;-0.7793808089917091;-0.6705866716702034;-0.6213540792007322;-0.6653490768690438
2019;Azerbaijan Grand Prix;-0.8723947229919227;-0.6908748124604134;-0.7845291873429261;-0.8245686115206453;-0.7534590314080022
2019;Bahrain Grand Prix;-0.3649530096981879;-0.39615973470347027;-0.5535328815208832;-0.49878477828309625;-0.5943549569545984
2019;Belgian Grand Prix;-0.7253960009038009;-0.5096115579491683;;-0.6584851669064258;-0.8150041682473401
2019;Brazilian Grand Prix;-0.6476446332346659;;-0.649853314095802;-0.628032089154347;-0.7811144374846917
2019;British Grand Prix;-0.9007586867877715;-0.8562822027782838;-0.9473428205470444;-0.9006666844569939;-0.8410289083139272
2019;Canadian Grand Prix;-0.6293211364370869;-0.8654744659133721;-0.3351181543596287;-0.8183793569170205;-0.7586251292226556
2019;Chinese Grand Prix;-0.702672304570331;-0.7986738513080236;-0.7879616304067752;-0.8150095792298665;-0.8164025463139071
2019;French Grand Prix;-0.7905181258944827;-0.9030132256925276;-0.9229373755743294;-0.6701595220728586;-0.6603002844037378
2019;German Grand Prix;-0.5838582325293427;-0.16275120605793314;-0.595127783773163;-0.44404806270108527;-0.8086332743397243
2019;Hungarian Grand Prix;0.1503609345261467;-0.6635662103669671;-0.8198245168358919;-0.6152363376095246;-0.46307905612740524
2019;Italian Grand Prix;-0.8229979187230894;-0.7541354757146155;-0.6820993520173629;-0.7437474699169425;-0.7438625757798323
2019;Japanese Grand Prix;-0.5113862077640454;-0.6637229555012099;-0.6324060264440222;-0.7318981178238331;-0.7801902802994739
2019;Mexican Grand Prix;-0.7420097751239457;-0.7854466048663746;-0.8469185867817607;-0.8194560993667696;-0.5471100745142039
2019;Monaco Grand Prix;-0.5861004683090159;-0.04230104586716299;-0.359806094318091;-0.0020780516363091317;-0.3847917121314531
2019;Russian Grand Prix;-0.8872640578874647;-0.9568886033366055;-0.928566882323871;-0.9098851135326704;-0.8880830823819106
2019;Singapore Grand Prix;-0.8556813052551379;-0.8800065669050255;-0.752450351857759;-0.8206853682747921;-0.7723228907980222
2019;Spanish Grand Prix;-0.8125180548924931;-0.8655478534444598;-0.9092142616771492;-0.8260706868186233;-0.8672374708013638
2019;United States Grand Prix;-0.4317843497591509;-0.7644796740029293;-0.6354419345588901;-0.5771767924442018;-0.6394295983416097
2020;70th Anniversary Grand Prix;-0.8024358686367239;-0.7139469781658965;-0.9345500347321432;-0.661135021190695;-0.8352526615617282
2020;Abu Dhabi Grand Prix;-0.5501420125548291;-0.43662941534270744;-0.8490964769855109;-0.3454714007485279;-0.5850905605704346
2020;Austrian Grand Prix;-0.6262368639716189;-0.650243969480053;-0.8169306960568766;-0.7211191514428;
2020;Bahrain Grand Prix;;-0.6297822638824812;-0.9031986148805378;-0.5722663587632981;-0.6196807392084602
2020;Belgian Grand Prix;-0.676515731561464;-0.6811055866387937;-0.8440097982301515;-0.32149626247952084;-0.3975315594453111
2020;British Grand Prix;-0.7521043337386671;-0.6999406499183332;-0.9467647096636916;-0.47505629900819907;-0.8171854341102092
2020;Eifel Grand Prix;-0.8046156515436623;-0.7638596797062562;-0.9292864522066079;-0.8698862437233816;-0.8220808986841021
2020;Emilia Romagna Grand Prix;-0.7162930961228647;-0.8478525011403698;-0.8444190080528771;-0.7466739076333339;-0.837263345138964
2020;Hungarian Grand Prix;-0.6969045163182399;-0.18526623375223653;-0.05547897565882516;-0.8574121569581763;-0.735946562717525
2020;Italian Grand Prix;-0.7815487008327067;;-0.8211521832496144;-0.6533455734466125;-0.6588062040533096
2020;Portuguese Grand Prix;-0.6153329586746169;-0.7733000976801658;-0.8930956763826124;-0.8235871983649391;-0.8277311509729172
2020;Russian Grand Prix;-0.9182491827568413;-0.6869553296470634;-0.5802078879530911;-0.7655357836816292;-0.7582149133529748
2020;Sakhir Grand Prix;-0.841706030970111;-0.7038962380934206;-0.8023653816611335;-0.684682466239388;-0.8474564542108259
2020;Spanish Grand Prix;-0.032126652597500374;0.18930815209591675;-0.5257285955008789;-0.7882694862883182;-0.5631667668064517
2020;Styrian Grand Prix;-0.78336896170667;;-0.8278562722611029;-0.6546366220634414;-0.7535736396795146
2020;Turkish Grand Prix;-0.7279823387949699;-0.7893748236218485;-0.8015296181616216;-0.7306429398448592;-0.6822113687834301
2020;Tuscan Grand Prix;-0.9324484623545465;-0.8028551946680501;-0.9559976838281085;-0.8267385678196792;-0.9361737652249928
2021;Austrian Grand Prix;-0.8665864761689197;-0.7777182772101159;-0.6518682212301746;-0.6762374304670342;-0.67652572225004
2021;Azerbaijan Grand Prix;-0.6939281105382824;-0.7931276349078964;-0.7221144264887;-0.40651400922793596;-0.7227926936905043
2021;Bahrain Grand Prix;-0.37034759403056516;-0.7359711640608534;-0.7471089234450039;-0.737015586109206;-0.7423531730327634
2021;British Grand Prix;-0.8919385908129948;-0.7750447038692225;-0.8361829478423168;-0.8201335485876724;-0.7399559977481062
