Team;Driver;Compound;LapTime;Year;GP
Alfa Romeo;BOT;MEDIUM;0 days 00:01:17.190818181;2023;Canadian Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:32.673707317;2023;Miami Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:47.452947368;2023;Azerbaijan Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:48.544476190;2023;Azerbaijan Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:23.234162790;2023;Australian Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:23.417097560;2023;Australian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:35.371540540;2023;Saudi Arabian Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:35.602000;2023;Saudi Arabian Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:35.600846153;2023;Saudi Arabian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:36.631529411;2023;Saudi Arabian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:33.910461538;2023;Miami Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:36.209833333;2023;Saudi Arabian Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:39.183666666;2022;Bahrain Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:38.239157894;2023;Bahrain Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:39.210222222;2023;Bahrain Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:40.017166666;2023;Bahrain Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:38.374902439;2023;Bahrain Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:39.058346153;2022;Bahrain Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:39.089750;2022;Bahrain Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:34.954956521;2022;Saudi Arabian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:36.980416666;2022;Saudi Arabian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:39.163962962;2022;Bahrain Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:23.718750;2022;Australian Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:33.868310344;2023;Miami Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:19.302755102;2023;Monaco Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:25.044962264;2023;Hungarian Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:25.900200;2023;Hungarian Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:24.721574074;2023;Hungarian Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:32.474928571;2023;British Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:34.299363636;2023;British Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:32.887666666;2023;British Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:32.303142857;2023;British Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:34.054482758;2023;British Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:11.358000;2023;Austrian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:32.123480;2023;Miami Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:10.711437500;2023;Austrian Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:10.572750;2023;Austrian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:18.956857142;2023;Canadian Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:17.946918367;2023;Canadian Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:17.360772727;2022;Dutch Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:18.379400;2023;Canadian Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:21.159250;2023;Spanish Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:19.919673076;2023;Spanish Grand Prix
Alfa Romeo;BOT;HARD;0 days 00:01:20.406488372;2023;Spanish Grand Prix
Alfa Romeo;ZHO;HARD;0 days 00:01:18.799590909;2023;Monaco Grand Prix
Alfa Romeo;BOT;MEDIUM;0 days 00:01:10.571625;2023;Austrian Grand Prix
Alfa Romeo;ZHO;MEDIUM;0 days 00:01:25.937666666;2023;Hungarian Grand Prix
Alfa Romeo;ZHO;SOFT;0 days 00:01:16.876606060;2022;São Paulo Grand Prix
Alfa Romeo;BOT;SOFT;0 days 00:01:16.756121212;2022;São Paulo Grand Prix
